Auction Number,Price,Bid,Name,Time,Plate
90,"46,400,000 ₮","50,000 ₮",М. Б***Ж,09:19:03,0011 УАР
89,"46,350,000 ₮","1,000,000 ₮",Д. Б***Д,09:17:29,0011 УАР
88,"45,350,000 ₮","50,000 ₮",Б. П***А,09:17:01,0011 УАР
87,"45,300,000 ₮","50,000 ₮",С. Л***Л,09:16:57,0011 УАР
86,"45,250,000 ₮","100,000 ₮",Д. Б***Д,09:16:51,0011 УАР
85,"45,150,000 ₮","100,000 ₮",С. У***Р,09:16:05,0011 УАР
84,"45,050,000 ₮","100,000 ₮",Д. Б***Д,09:15:12,0011 УАР
83,"44,950,000 ₮","1,000,000 ₮",Б. П***А,09:15:01,0011 УАР
82,"43,950,000 ₮","300,000 ₮",С. Л***Л,09:14:40,0011 УАР
81,"43,650,000 ₮","500,000 ₮",Д. Б***Р,09:14:09,0011 УАР
80,"43,150,000 ₮","500,000 ₮",Д. Б***Д,09:13:59,0011 УАР
79,"42,650,000 ₮","100,000 ₮",Б. П***А,09:12:56,0011 УАР
78,"42,550,000 ₮","50,000 ₮",Б. М***Э,09:11:45,0011 УАР
77,"42,500,000 ₮","50,000 ₮",Д. Б***Р,09:11:36,0011 УАР
76,"42,450,000 ₮","500,000 ₮",П. Д***Н,09:11:27,0011 УАР
75,"41,950,000 ₮","50,000 ₮",Д. С***Р,09:11:14,0011 УАР
74,"41,900,000 ₮","1,000,000 ₮",Т. Э***Р,09:10:55,0011 УАР
73,"40,900,000 ₮","300,000 ₮",Э. Ц***Ш,09:10:43,0011 УАР
72,"40,600,000 ₮","1,000,000 ₮",Б. П***А,09:10:31,0011 УАР
71,"39,600,000 ₮","1,000,000 ₮",Б. Б***Р,09:10:06,0011 УАР
70,"38,600,000 ₮","100,000 ₮",Д. Б***Р,09:09:57,0011 УАР
69,"38,500,000 ₮","500,000 ₮",Т. Э***Р,09:09:33,0011 УАР
68,"38,000,000 ₮","1,000,000 ₮",Б. Д***Л,09:09:20,0011 УАР
67,"37,000,000 ₮","100,000 ₮",Д. Б***Р,09:09:08,0011 УАР
66,"36,900,000 ₮","1,000,000 ₮",Б. П***А,09:09:03,0011 УАР
65,"35,900,000 ₮","50,000 ₮",Б. Б***Р,09:09:00,0011 УАР
64,"35,850,000 ₮","50,000 ₮",Н. Э***Г,09:08:13,0011 УАР
63,"35,800,000 ₮","1,000,000 ₮",Б. П***А,09:08:10,0011 УАР
62,"34,800,000 ₮","1,000,000 ₮",С. Л***Л,09:07:36,0011 УАР
61,"33,800,000 ₮","1,000,000 ₮",Д. Б***Р,09:07:23,0011 УАР
60,"32,800,000 ₮","1,000,000 ₮",З. Х***Р,09:07:11,0011 УАР
59,"31,800,000 ₮","1,000,000 ₮",Б. П***А,09:06:57,0011 УАР
58,"30,800,000 ₮","300,000 ₮",Д. Б***Р,09:06:56,0011 УАР
57,"30,500,000 ₮","100,000 ₮",Ж. Б***Ү,09:06:49,0011 УАР
56,"30,400,000 ₮","1,000,000 ₮",Б. Б***Р,09:06:34,0011 УАР
55,"29,400,000 ₮","1,000,000 ₮",Д. Б***Д,09:06:18,0011 УАР
54,"28,400,000 ₮","100,000 ₮",С. Л***Л,09:06:00,0011 УАР
53,"28,300,000 ₮","50,000 ₮",Н. Э***Г,09:05:40,0011 УАР
52,"28,250,000 ₮","1,000,000 ₮",С. Л***Л,09:05:35,0011 УАР
51,"27,250,000 ₮","100,000 ₮",Д. Б***Р,09:05:30,0011 УАР
50,"27,150,000 ₮","500,000 ₮",Д. Б***Д,09:05:15,0011 УАР
49,"26,650,000 ₮","50,000 ₮",Н. Э***Г,09:05:11,0011 УАР
48,"26,600,000 ₮","1,000,000 ₮",Т. Э***Р,09:05:08,0011 УАР
47,"25,600,000 ₮","500,000 ₮",Д. Б***Д,09:05:06,0011 УАР
46,"25,100,000 ₮","50,000 ₮",Б. П***А,09:04:58,0011 УАР
45,"25,050,000 ₮","50,000 ₮",Р. Т***Н,09:04:51,0011 УАР
44,"25,000,000 ₮","1,000,000 ₮",Б. М***Э,09:04:48,0011 УАР
