date,product,market,size,price
2019-01-02,"Gree Tea, Georgia",Sansar,kg,1550.0
2019-01-02,"Gree Tea, Georgia",Saruul,kg,
2019-01-02,"Gree Tea, Georgia",Tavan Erdene,kg,1500.0
2019-01-02,Horse Meat w/Bones,Bars,kg,
2019-01-02,Horse Meat w/Bones,Bayanzurkh,kg,6500.0
2019-01-02,Horse Meat w/Bones,Bumbugur,kg,6500.0
2019-01-02,Horse Meat w/Bones,Emart,kg,
2019-01-02,Horse Meat w/Bones,Kharkhorin,kg,6300.0
2019-01-02,Horse Meat w/Bones,Khuchit Shonkhor,kg,6800.0
2019-01-02,Horse Meat w/Bones,Max/M Mart,kg,
2019-01-02,Horse Meat w/Bones,Mercury/Ikh Nayad,kg,
2019-01-02,Horse Meat w/Bones,Nomin,kg,
2019-01-02,Horse Meat w/Bones,Orgil,kg,
2019-01-02,Horse Meat w/Bones,Sansar,kg,
2019-01-02,Horse Meat w/Bones,Saruul,kg,
2019-01-02,Horse Meat w/Bones,Tavan Erdene,kg,
2019-01-02,"Milk, Bulk",Bars,liter,
2019-01-02,"Milk, Bulk",Bayanzurkh,liter,
2019-01-02,"Milk, Bulk",Bumbugur,liter,
2019-01-02,"Milk, Bulk",Emart,liter,
2019-01-02,"Milk, Bulk",Kharkhorin,liter,1800.0
2019-01-02,"Milk, Bulk",Khuchit Shonkhor,liter,
2019-01-02,"Milk, Bulk",Max/M Mart,liter,
2019-01-02,"Milk, Bulk",Mercury/Ikh Nayad,liter,
2019-01-02,"Milk, Bulk",Nomin,liter,
2019-01-02,"Milk, Bulk",Orgil,liter,
2019-01-02,"Milk, Bulk",Sansar,liter,
2019-01-02,"Milk, Bulk",Saruul,liter,
2019-01-02,"Milk, Bulk",Tavan Erdene,liter,2000.0
2019-01-02,Mutton Boneless,Bars,kg,7500.0
2019-01-02,Mutton Boneless,Bayanzurkh,kg,7000.0
2019-01-02,Mutton Boneless,Bumbugur,kg,7500.0
2019-01-02,Mutton Boneless,Emart,kg,
2019-01-02,Mutton Boneless,Kharkhorin,kg,6500.0
2019-01-02,Mutton Boneless,Khuchit Shonkhor,kg,7000.0
2019-01-02,Mutton Boneless,Max/M Mart,kg,8100.0
2019-01-02,Mutton Boneless,Mercury/Ikh Nayad,kg,
2019-01-02,Mutton Boneless,Nomin,kg,
2019-01-02,Mutton Boneless,Orgil,kg,
2019-01-02,Mutton Boneless,Sansar,kg,
2019-01-02,Mutton Boneless,Saruul,kg,
2019-01-02,Mutton Boneless,Tavan Erdene,kg,
2019-01-02,Mutton w/Bones,Bars,kg,7000.0
2019-01-02,Mutton w/Bones,Bayanzurkh,kg,6500.0
2019-01-02,Mutton w/Bones,Bumbugur,kg,6800.0
2019-01-02,Mutton w/Bones,Emart,kg,6900.0
2019-01-02,Mutton w/Bones,Kharkhorin,kg,6000.0
2019-01-02,Mutton w/Bones,Khuchit Shonkhor,kg,6500.0
2019-01-02,Mutton w/Bones,Max/M Mart,kg,6950.0
2019-01-02,Mutton w/Bones,Mercury/Ikh Nayad,kg,7500.0
2019-01-02,Mutton w/Bones,Nomin,kg,7399.0
2019-01-02,Mutton w/Bones,Orgil,kg,
2019-01-02,Mutton w/Bones,Sansar,kg,
2019-01-02,Mutton w/Bones,Saruul,kg,
2019-01-02,Mutton w/Bones,Tavan Erdene,kg,8000.0
2019-01-02,"Onion, China",Bars,kg,1000.0
2019-01-02,"Onion, China",Bayanzurkh,kg,1000.0
2019-01-02,"Onion, China",Bumbugur,kg,1000.0
2019-01-02,"Onion, China",Emart,kg,
2019-01-02,"Onion, China",Kharkhorin,kg,1000.0
2019-01-02,"Onion, China",Khuchit Shonkhor,kg,1000.0
2019-01-02,"Onion, China",Max/M Mart,kg,1300.0
2019-01-02,"Onion, China",Mercury/Ikh Nayad,kg,1500.0
2019-01-02,"Onion, China",Nomin,kg,1199.0
2019-01-02,"Onion, China",Orgil,kg,
2019-01-02,"Onion, China",Sansar,kg,1200.0
2019-01-02,"Onion, China",Saruul,kg,
2019-01-02,"Onion, China",Tavan Erdene,kg,1500.0
2019-01-02,"Potato, Mongolian",Bars,kg,600.0
2019-01-02,"Potato, Mongolian",Bayanzurkh,kg,800.0
2019-01-02,"Potato, Mongolian",Bumbugur,kg,800.0
2019-01-02,"Potato, Mongolian",Emart,kg,680.0
2019-01-02,"Potato, Mongolian",Kharkhorin,kg,600.0
2019-01-02,"Potato, Mongolian",Khuchit Shonkhor,kg,700.0
2019-01-02,"Potato, Mongolian",Max/M Mart,kg,999.0
2019-01-02,"Potato, Mongolian",Mercury/Ikh Nayad,kg,1000.0
2019-01-02,"Potato, Mongolian",Nomin,kg,699.0
2019-01-02,"Potato, Mongolian",Orgil,kg,899.0
2019-01-02,"Potato, Mongolian",Sansar,kg,999.0
2019-01-02,"Potato, Mongolian",Saruul,kg,
2019-01-02,"Potato, Mongolian",Tavan Erdene,kg,1000.0
2019-01-02,"Round Bread, Czech Style",Bars,each,1300.0
2019-01-02,"Round Bread, Czech Style",Bayanzurkh,each,1400.0
2019-01-02,"Round Bread, Czech Style",Bumbugur,each,1300.0
2019-01-02,"Round Bread, Czech Style",Emart,each,1370.0
2019-01-02,"Round Bread, Czech Style",Kharkhorin,each,1350.0
2019-01-02,"Round Bread, Czech Style",Khuchit Shonkhor,each,1400.0
2019-01-02,"Round Bread, Czech Style",Max/M Mart,each,1440.0
2019-01-02,"Round Bread, Czech Style",Mercury/Ikh Nayad,each,1400.0
2019-01-02,"Round Bread, Czech Style",Nomin,each,1379.0
2019-01-02,"Round Bread, Czech Style",Orgil,each,1460.0
2019-01-02,"Round Bread, Czech Style",Sansar,each,1430.0
2019-01-02,"Round Bread, Czech Style",Saruul,each,
2019-01-02,"Round Bread, Czech Style",Tavan Erdene,each,1400.0
2019-01-02,Sugar,Bars,kg,2550.0
2019-01-02,Sugar,Bayanzurkh,kg,2560.0
2019-01-02,Sugar,Bumbugur,kg,2600.0
2019-01-02,Sugar,Emart,kg,
2019-01-02,Sugar,Kharkhorin,kg,2500.0
2019-01-02,Sugar,Khuchit Shonkhor,kg,2600.0
2019-01-02,Sugar,Max/M Mart,kg,
2019-01-02,Sugar,Mercury/Ikh Nayad,kg,
2019-01-02,Sugar,Nomin,kg,
2019-01-02,Sugar,Orgil,kg,
2019-01-02,Sugar,Sansar,kg,
2019-01-02,Sugar,Saruul,kg,
2019-01-02,Sugar,Tavan Erdene,kg,2700.0
2019-01-02,"Suu Brand Milk, 0.5l",Bars,liter,1100.0
2019-01-02,"Suu Brand Milk, 0.5l",Bayanzurkh,liter,1100.0
2019-01-02,"Suu Brand Milk, 0.5l",Bumbugur,liter,1100.0
2019-01-02,"Suu Brand Milk, 0.5l",Emart,liter,1100.0
2019-01-02,"Suu Brand Milk, 0.5l",Kharkhorin,liter,1100.0
2019-01-02,"Suu Brand Milk, 0.5l",Khuchit Shonkhor,liter,1150.0
2019-01-02,"Suu Brand Milk, 0.5l",Max/M Mart,liter,1110.0
2019-01-02,"Suu Brand Milk, 0.5l",Mercury/Ikh Nayad,liter,1200.0
2019-01-02,"Suu Brand Milk, 0.5l",Nomin,liter,1099.0
2019-01-02,"Suu Brand Milk, 0.5l",Orgil,liter,1149.0
2019-01-02,"Suu Brand Milk, 0.5l",Sansar,liter,1180.0
2019-01-02,"Suu Brand Milk, 0.5l",Saruul,liter,
2019-01-02,"Suu Brand Milk, 0.5l",Tavan Erdene,liter,1100.0
2019-01-02,"Suu Brand Milk, 1l",Bars,liter,2700.0
2019-01-02,"Suu Brand Milk, 1l",Bayanzurkh,liter,2650.0
2019-01-02,"Suu Brand Milk, 1l",Bumbugur,liter,2650.0
2019-01-02,"Suu Brand Milk, 1l",Emart,liter,2750.0
2019-01-02,"Suu Brand Milk, 1l",Kharkhorin,liter,2700.0
2019-01-02,"Suu Brand Milk, 1l",Khuchit Shonkhor,liter,2650.0
2019-01-02,"Suu Brand Milk, 1l",Max/M Mart,liter,2670.0
2019-01-02,"Suu Brand Milk, 1l",Mercury/Ikh Nayad,liter,2800.0
2019-01-02,"Suu Brand Milk, 1l",Nomin,liter,2829.0
2019-01-02,"Suu Brand Milk, 1l",Orgil,liter,2680.0
2019-01-02,"Suu Brand Milk, 1l",Sansar,liter,2790.0
2019-01-02,"Suu Brand Milk, 1l",Saruul,liter,
2019-01-02,"Suu Brand Milk, 1l",Tavan Erdene,liter,2800.0
2019-01-02,Vegatable Oil,Bars,1 liter,3300.0
2019-01-02,Vegatable Oil,Bayanzurkh,1 liter,3200.0
2019-01-02,Vegatable Oil,Bumbugur,1 liter,3200.0
2019-01-02,Vegatable Oil,Emart,1 liter,3750.0
2019-01-02,Vegatable Oil,Kharkhorin,1 liter,3200.0
2019-01-02,Vegatable Oil,Khuchit Shonkhor,1 liter,3300.0
2019-01-02,Vegatable Oil,Max/M Mart,1 liter,3740.0
2019-01-02,Vegatable Oil,Mercury/Ikh Nayad,1 liter,
2019-01-02,Vegatable Oil,Nomin,1 liter,3749.0
2019-01-02,Vegatable Oil,Orgil,1 liter,3750.0
2019-01-02,Vegatable Oil,Sansar,1 liter,3690.0
2019-01-02,Vegatable Oil,Saruul,1 liter,
2019-01-02,Vegatable Oil,Tavan Erdene,1 liter,3400.0
2019-01-02,White Rice,Bars,kg,3200.0
2019-01-02,White Rice,Bayanzurkh,kg,3150.0
2019-01-02,White Rice,Bumbugur,kg,3100.0
2019-01-02,White Rice,Emart,kg,
2019-01-02,White Rice,Kharkhorin,kg,3100.0
2019-01-02,White Rice,Khuchit Shonkhor,kg,3200.0
2019-01-02,White Rice,Max/M Mart,kg,3570.0
2019-01-02,White Rice,Mercury/Ikh Nayad,kg,
2019-01-02,White Rice,Nomin,kg,3480.0
2019-01-02,White Rice,Orgil,kg,
2019-01-02,White Rice,Sansar,kg,3280.0
2019-01-02,White Rice,Saruul,kg,
2019-01-02,White Rice,Tavan Erdene,kg,3300.0
2019-01-02,Yellow Rice,Bars,kg,1800.0
2019-01-02,Yellow Rice,Bayanzurkh,kg,2000.0
2019-01-02,Yellow Rice,Bumbugur,kg,1800.0
2019-01-02,Yellow Rice,Emart,kg,
2019-01-02,Yellow Rice,Kharkhorin,kg,2000.0
2019-01-02,Yellow Rice,Khuchit Shonkhor,kg,1800.0
2019-01-02,Yellow Rice,Max/M Mart,kg,
2019-01-02,Yellow Rice,Mercury/Ikh Nayad,kg,
2019-01-02,Yellow Rice,Nomin,kg,
2019-01-02,Yellow Rice,Orgil,kg,
2019-01-02,Yellow Rice,Sansar,kg,
2019-01-02,Yellow Rice,Saruul,kg,
2019-01-02,Yellow Rice,Tavan Erdene,kg,2000.0
2019-01-02,Yogurt,Bars,liter,2500.0
2019-01-02,Yogurt,Bayanzurkh,liter,2500.0
2019-01-02,Yogurt,Bumbugur,liter,2550.0
2019-01-02,Yogurt,Emart,liter,2420.0
2019-01-02,Yogurt,Kharkhorin,liter,2500.0
2019-01-02,Yogurt,Khuchit Shonkhor,liter,2500.0
