"Засаг захиргааны нэгж","Гэмт хэргийн ангилал","2018","2019"
"Өмнөговь","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","3","9"
"Өмнөговь","Эрүүл мэндийн эсрэг","2",""
"Өмнөговь","Хүрээлэн байгаа орчны эсрэг","6","12"
"Өмнөговь","ХАБТХАЖ-ын эсрэг гэмт хэрэг","49","62"
"Өмнөговь","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","11","21"
"Өмнөговь","Эдийн засгийн гэмт хэрэг","18","29"
"Өмнөговь","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","","2"
"Өмнөговь","Авлигын эсрэг","6","10"
"Өмнөговь","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","5","7"
"Өмнөговь","Соёлын өвийн эсрэг","","1"
"Өмнөговь","Цэргийн албаны эсрэг гэмт хэрэг","","1"
"Даланзадгад","Улсын дүн","111","136"
"Даланзадгад","Үндэсний аюулгүй байдлын эсрэг","","0"
"Даланзадгад","Хүний амьд явах эрхийн эсрэг","4","6"
"Даланзадгад","Хүнийг  санаатай алах","3","0"
"Даланзадгад","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","1","2"
"Даланзадгад","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","50","43"
"Даланзадгад","Өмчлөх эрхийн эсрэг","39","55"
"Даланзадгад","Хулгайлах","27","32"
"Даланзадгад","Мал хулгайлах","","1"
"Даланзадгад","Дээрэмдэх","1",""
"Даланзадгад","Залилах","9","12"
"Даланзадгад","Хөрөнгө завших","2","5"
"Даланзадгад","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","","2"
"Даланзадгад","Эрүүл мэндийн эсрэг","1",""
"Даланзадгад","ХАБТХАЖ-ын эсрэг гэмт хэрэг","10","16"
"Даланзадгад","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","5","7"
"Даланзадгад","Эдийн засгийн гэмт хэрэг","0",""
"Даланзадгад","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","","2"
"Даланзадгад","Авлигын эсрэг","2","2"
"Даланзадгад","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","0","1"
"Даланзадгад","Соёлын өвийн эсрэг","","1"
"Даланзадгад","Цэргийн албаны эсрэг гэмт хэрэг","","1"
"Баяндалай","Улсын дүн","7","8"
"Баяндалай","Хүний амьд явах эрхийн эсрэг","","0"
"Баяндалай","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
"Баяндалай","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","4","3"
"Баяндалай","Өмчлөх эрхийн эсрэг","1","1"
"Баяндалай","Хулгайлах","","1"
"Баяндалай","Мал хулгайлах","1",""
"Баяндалай","Хүрээлэн байгаа орчны эсрэг","1","1"
"Баяндалай","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1","3"
"Баяндалай","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","0",""
"Баяндалай","Эдийн засгийн гэмт хэрэг","0",""
"Баяндалай","Авлигын эсрэг","0",""
"Баяндалай","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","0",""
"Баян-Овоо","Улсын дүн","12","11"
"Баян-Овоо","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","5","0"
"Баян-Овоо","Өмчлөх эрхийн эсрэг","5","2"
"Баян-Овоо","Хулгайлах","1","1"
"Баян-Овоо","Мал хулгайлах","2",""
"Баян-Овоо","Хөрөнгө завших","2","1"
"Баян-Овоо","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","","1"
"Баян-Овоо","Хүрээлэн байгаа орчны эсрэг","","1"
"Баян-Овоо","ХАБТХАЖ-ын эсрэг гэмт хэрэг","2","5"
"Баян-Овоо","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","0","2"
"Баян-Овоо","Эдийн засгийн гэмт хэрэг","0",""
"Баян-Овоо","Авлигын эсрэг","0",""
"Баян-Овоо","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","0",""
"Булган","Улсын дүн","9","8"
"Булган","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","6","7"
"Булган","Өмчлөх эрхийн эсрэг","3","1"
"Булган","Хулгайлах","1",""
"Булган","Мал хулгайлах","1","1"
"Булган","Залилах","1",""
"Булган","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","0",""
"Булган","Эдийн засгийн гэмт хэрэг","0",""
"Булган","Авлигын эсрэг","0",""
"Булган","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","0",""
"Гурвантэс","Улсын дүн","36","39"
"Гурвантэс","Үндэсний аюулгүй байдлын эсрэг","","1"
"Гурвантэс","Хүний амьд явах эрхийн эсрэг","1","1"
"Гурвантэс","Хүнийг  санаатай алах","1","1"
"Гурвантэс","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","20","18"
"Гурвантэс","Өмчлөх эрхийн эсрэг","7","5"
"Гурвантэс","Хулгайлах","2","5"
"Гурвантэс","Залилах","2",""
"Гурвантэс","Хөрөнгө завших","1",""
"Гурвантэс","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","","1"
"Гурвантэс","Хүрээлэн байгаа орчны эсрэг","2",""
"Гурвантэс","ХАБТХАЖ-ын эсрэг гэмт хэрэг","","2"
"Гурвантэс","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","0","5"
"Гурвантэс","Эдийн засгийн гэмт хэрэг","2","6"
"Гурвантэс","Авлигын эсрэг","1",""
"Гурвантэс","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","3",""
"Мандал-Овоо","Улсын дүн","2","3"
"Мандал-Овоо","Үндэсний аюулгүй байдлын эсрэг","","0"
"Мандал-Овоо","Хүний амьд явах эрхийн эсрэг","","1"
"Мандал-Овоо","Хүнийг  санаатай алах","","0"
"Мандал-Овоо","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","1"
"Мандал-Овоо","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","1"
"Мандал-Овоо","Өмчлөх эрхийн эсрэг","","5"
"Мандал-Овоо","Хүрээлэн байгаа орчны эсрэг","","1"
"Мандал-Овоо","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1",""
"Мандал-Овоо","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","0",""
"Мандал-Овоо","Эдийн засгийн гэмт хэрэг","0",""
"Мандал-Овоо","Авлигын эсрэг","0",""
"Мандал-Овоо","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","0",""
"Манлай","Улсын дүн","6","18"
"Манлай","Хүний амьд явах эрхийн эсрэг","1","0"
"Манлай","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","1","0"
"Манлай","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","5","4"
"Манлай","Өмчлөх эрхийн эсрэг","","10"
"Манлай","Хулгайлах","","10"
"Манлай","Хүрээлэн байгаа орчны эсрэг","","1"
"Манлай","ХАБТХАЖ-ын эсрэг гэмт хэрэг","","2"
"Манлай","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","0","1"
"Манлай","Эдийн засгийн гэмт хэрэг","0",""
"Манлай","Авлигын эсрэг","0",""
"Манлай","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","0",""
"Ноён","Улсын дүн","4","4"
"Ноён","Хүний амьд явах эрхийн эсрэг","","1"
"Ноён","Хүнийг  санаатай алах","","1"
"Ноён","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","2"
"Ноён","Өмчлөх эрхийн эсрэг","","1"
"Ноён","Хулгайлах","","1"
"Ноён","ХАБТХАЖ-ын эсрэг гэмт хэрэг","3",""
"Ноён","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","0",""
"Ноён","Эдийн засгийн гэмт хэрэг","0",""
"Ноён","Авлигын эсрэг","0",""
"Ноён","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","0",""
"Номгон","Улсын дүн","5","8"
"Номгон","Хүний амьд явах эрхийн эсрэг","","0"
"Номгон","Хүнийг  санаатай алах","","0"
"Номгон","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","2","6"
"Номгон","Өмчлөх эрхийн эсрэг","1","1"
"Номгон","Мал хулгайлах","1",""
"Номгон","Эрүүл мэндийн эсрэг","1",""
"Номгон","Хүрээлэн байгаа орчны эсрэг","","1"
"Номгон","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","0",""
"Номгон","Эдийн засгийн гэмт хэрэг","0",""
"Номгон","Авлигын эсрэг","0",""
"Номгон","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","1","1"
"Сэврэй","Улсын дүн","5","6"
"Сэврэй","Хүний амьд явах эрхийн эсрэг","1",""
"Сэврэй","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","1",""
"Сэврэй","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","4","3"
"Сэврэй","Өмчлөх эрхийн эсрэг","","1"
"Сэврэй","Хулгайлах","","1"
"Сэврэй","ХАБТХАЖ-ын эсрэг гэмт хэрэг","","2"
"Сэврэй","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","0",""
"Сэврэй","Эдийн засгийн гэмт хэрэг","0",""
"Сэврэй","Авлигын эсрэг","0",""
"Сэврэй","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","0",""
"Ханбогд","Улсын дүн","125","148"
"Ханбогд","Хүний амьд явах эрхийн эсрэг","2","5"
"Ханбогд","Хүнийг  санаатай алах","","3"
"Ханбогд","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","1","2"
"Ханбогд","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","38","43"
"Ханбогд","Өмчлөх эрхийн эсрэг","39","43"
"Ханбогд","Хулгайлах","16","22"
"Ханбогд","Мал хулгайлах","","1"
"Ханбогд","Залилах","8","8"
"Ханбогд","Хөрөнгө завших","13","9"
"Ханбогд","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","2","4"
"Ханбогд","Хүрээлэн байгаа орчны эсрэг","3","3"
"Ханбогд","ХАБТХАЖ-ын эсрэг гэмт хэрэг","20","22"
"Ханбогд","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","4","2"
"Ханбогд","Эдийн засгийн гэмт хэрэг","15","23"
"Ханбогд","Авлигын эсрэг","2","1"
"Ханбогд","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","0","2"
"Ханхонгор","Улсын дүн","17","17"
"Ханхонгор","Хүний амьд явах эрхийн эсрэг","","5"
"Ханхонгор","Хүнийг  санаатай алах","","0"
"Ханхонгор","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
"Ханхонгор","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","9","6"
"Ханхонгор","Өмчлөх эрхийн эсрэг","4","6"
"Ханхонгор","Хулгайлах","1","4"
"Ханхонгор","Мал хулгайлах","3","2"
"Ханхонгор","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","","1"
"Ханхонгор","Хүрээлэн байгаа орчны эсрэг","","1"
"Ханхонгор","ХАБТХАЖ-ын эсрэг гэмт хэрэг","4","2"
"Ханхонгор","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","0","1"
"Ханхонгор","Эдийн засгийн гэмт хэрэг","0",""
"Ханхонгор","Авлигын эсрэг","0",""
"Ханхонгор","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","0",""
"Хүрмэн","Улсын дүн","4","6"
"Хүрмэн","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","3","2"
"Хүрмэн","Өмчлөх эрхийн эсрэг","","6"
"Хүрмэн","Хүрээлэн байгаа орчны эсрэг","","3"
"Хүрмэн","ХАБТХАЖ-ын эсрэг гэмт хэрэг","","1"
"Хүрмэн","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1",""
"Хүрмэн","Эдийн засгийн гэмт хэрэг","0",""
"Хүрмэн","Авлигын эсрэг","0",""
"Хүрмэн","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","0",""
"Цогт-Овоо","Улсын дүн","15","11"
"Цогт-Овоо","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","4","1"
"Цогт-Овоо","Өмчлөх эрхийн эсрэг","6","8"
"Цогт-Овоо","Хулгайлах","6","3"
"Цогт-Овоо","Мал хулгайлах","","4"
"Цогт-Овоо","Залилах","","1"
"Цогт-Овоо","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","1",""
"Цогт-Овоо","ХАБТХАЖ-ын эсрэг гэмт хэрэг","4","2"
"Цогт-Овоо","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","0",""
"Цогт-Овоо","Эдийн засгийн гэмт хэрэг","0",""
"Цогт-Овоо","Авлигын эсрэг","0",""
"Цогт-Овоо","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","0",""
"Цогтцэций","Улсын дүн","71","92"
"Цогтцэций","Хүний амьд явах эрхийн эсрэг","4",""
"Цогтцэций","Хүнийг  санаатай алах","2",""
"Цогтцэций","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","2",""
"Цогтцэций","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","30","38"
"Цогтцэций","Өмчлөх эрхийн эсрэг","29","36"
"Цогтцэций","Хулгайлах","9","11"
"Цогтцэций","Мал хулгайлах","","4"
"Цогтцэций","Дээрэмдэх","1","2"
"Цогтцэций","Залилах","7","8"
"Цогтцэций","Хөрөнгө завших","11","10"
"Цогтцэций","ХАБТХАЖ-ын эсрэг гэмт хэрэг","4","5"
"Цогтцэций","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1","3"
"Цогтцэций","Эдийн засгийн гэмт хэрэг","1",""
"Цогтцэций","Авлигын эсрэг","1","7"
"Цогтцэций","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","1","3"
"Бусад","Улсын дүн","","0"
"Бусад","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","0"
"Бусад","Өмчлөх эрхийн эсрэг","","0"
"Дундговь","Улсын дүн","266","211"
"Дундговь","Хүний амьд явах эрхийн эсрэг","5","1"
"Дундговь","Хүнийг  санаатай алах","4",""
"Дундговь","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","1"
"Дундговь","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","77","60"
"Дундговь","Өмчлөх эрхийн эсрэг","144","111"
"Дундговь","Хулгайлах","105","57"
"Дундговь","Мал хулгайлах","21","29"
"Дундговь","Дээрэмдэх","2","1"
"Дундговь","Залилах","10","17"
"Дундговь","Хөрөнгө завших","1","2"
"Дундговь","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","1",""
"Дундговь","Эрүүл мэндийн эсрэг","","1"
"Дундговь","Хүрээлэн байгаа орчны эсрэг","","5"
"Дундговь","ХАБТХАЖ-ын эсрэг гэмт хэрэг","16","14"
"Дундговь","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","7","7"
"Дундговь","Хүний халдашгүй чөлөөтэй ажиллах эрхийн эсрэг гэмт хэрэг","0",""
"Дундговь","Хүүхдийн эсрэг  гэмт хэрэг","0","1"
"Дундговь","Эдийн засгийн гэмт хэрэг","0",""
"Дундговь","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","2",""
"Дундговь","Авлигын эсрэг","10","7"
"Дундговь","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","4","4"
"Дундговь","Соёлын өвийн эсрэг","0",""
"Дундговь","Цахим мэдээллийн аюулгүй байдлын эсрэг","0",""
"Дундговь","Цэргийн албаны эсрэг гэмт хэрэг","0",""
"Дундговь","Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг","0",""
"Сайнцагаан","Улсын дүн","114","103"
"Сайнцагаан","Хүний амьд явах эрхийн эсрэг","1","0"
"Сайнцагаан","Хүнийг  санаатай алах","1",""
"Сайнцагаан","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","28","33"
"Сайнцагаан","Өмчлөх эрхийн эсрэг","67","54"
"Сайнцагаан","Хулгайлах","44","28"
"Сайнцагаан","Мал хулгайлах","8","9"
"Сайнцагаан","Дээрэмдэх","2","1"
"Сайнцагаан","Залилах","8","13"
"Сайнцагаан","Хөрөнгө завших","1","1"
"Сайнцагаан","Эрүүл мэндийн эсрэг","","1"
"Сайнцагаан","Хүрээлэн байгаа орчны эсрэг","","1"
"Сайнцагаан","ХАБТХАЖ-ын эсрэг гэмт хэрэг","5","7"
"Сайнцагаан","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","4","3"
"Сайнцагаан","Хүүхдийн эсрэг  гэмт хэрэг","","1"
"Сайнцагаан","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","1",""
"Сайнцагаан","Авлигын эсрэг","6","3"
"Сайнцагаан","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","2",""
"Адаацаг","Улсын дүн","3","11"
"Адаацаг","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","0"
"Адаацаг","Өмчлөх эрхийн эсрэг","2","10"
"Адаацаг","Хулгайлах","2","7"
"Адаацаг","Мал хулгайлах","","2"
"Адаацаг","Хөрөнгө завших","","1"
"Адаацаг","ХАБТХАЖ-ын эсрэг гэмт хэрэг","","1"
"Баянжаргалан","Улсын дүн","14","4"
"Баянжаргалан","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","5","1"
"Баянжаргалан","Өмчлөх эрхийн эсрэг","6","2"
"Баянжаргалан","Хулгайлах","5","1"
"Баянжаргалан","Мал хулгайлах","1",""
"Баянжаргалан","Залилах","","1"
"Баянжаргалан","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","1",""
"Баянжаргалан","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1","1"
"Баянжаргалан","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1",""
"Говь-Угтаал","Улсын дүн","10","7"
"Говь-Угтаал","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","4","2"
"Говь-Угтаал","Өмчлөх эрхийн эсрэг","6","5"
"Говь-Угтаал","Хулгайлах","6","4"
"Говь-Угтаал","Мал хулгайлах","","1"
"Гурвансайхан","Улсын дүн","12","9"
"Гурвансайхан","Хүний амьд явах эрхийн эсрэг","1",""
"Гурвансайхан","Хүнийг  санаатай алах","1",""
"Гурвансайхан","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","3","1"
"Гурвансайхан","Өмчлөх эрхийн эсрэг","8","6"
"Гурвансайхан","Хулгайлах","5","4"
"Гурвансайхан","Мал хулгайлах","2","2"
"Гурвансайхан","Хүрээлэн байгаа орчны эсрэг","","2"
"Дэлгэрхангай","Улсын дүн","15","9"
"Дэлгэрхангай","Хүний амьд явах эрхийн эсрэг","1","1"
"Дэлгэрхангай","Хүнийг  санаатай алах","1",""
"Дэлгэрхангай","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","1"
"Дэлгэрхангай","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","7","3"
"Дэлгэрхангай","Өмчлөх эрхийн эсрэг","5","5"
"Дэлгэрхангай","Хулгайлах","4","1"
"Дэлгэрхангай","Мал хулгайлах","1","1"
"Дэлгэрхангай","Залилах","","2"
"Дэлгэрхангай","Авлигын эсрэг","2",""
"Дэлгэрцогт","Улсын дүн","13","9"
"Дэлгэрцогт","Хүний амьд явах эрхийн эсрэг","1","0"
"Дэлгэрцогт","Хүнийг  санаатай алах","1",""
"Дэлгэрцогт","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
"Дэлгэрцогт","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","6","2"
"Дэлгэрцогт","Өмчлөх эрхийн эсрэг","6","4"
"Дэлгэрцогт","Хулгайлах","3",""
"Дэлгэрцогт","Мал хулгайлах","3","4"
"Дэлгэрцогт","ХАБТХАЖ-ын эсрэг гэмт хэрэг","","3"
"Дэрэн","Улсын дүн","14","11"
"Дэрэн","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","3","1"
"Дэрэн","Өмчлөх эрхийн эсрэг","5","9"
"Дэрэн","Хулгайлах","4","4"
"Дэрэн","Мал хулгайлах","1","4"
"Дэрэн","Залилах","","1"
"Дэрэн","ХАБТХАЖ-ын эсрэг гэмт хэрэг","3","1"
"Дэрэн","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","1",""
"Дэрэн","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","2",""
"Луус","Улсын дүн","10","9"
"Луус","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","2"
"Луус","Өмчлөх эрхийн эсрэг","7","5"
"Луус","Хулгайлах","4","2"
"Луус","Мал хулгайлах","2","2"
"Луус","Залилах","1",""
"Луус","ХАБТХАЖ-ын эсрэг гэмт хэрэг","2","1"
"Луус","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","","1"
"Өлзийт","Улсын дүн","12","7"
"Өлзийт","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","5","3"
"Өлзийт","Өмчлөх эрхийн эсрэг","5","1"
"Өлзийт","Хулгайлах","5",""
"Өлзийт","Мал хулгайлах","","1"
"Өлзийт","Хүрээлэн байгаа орчны эсрэг","","2"
"Өлзийт","ХАБТХАЖ-ын эсрэг гэмт хэрэг","2",""
"Өлзийт","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","1"
"Өндөршил","Улсын дүн","3","4"
"Өндөршил","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","2","3"
"Өндөршил","Өмчлөх эрхийн эсрэг","1","1"
"Өндөршил","Хулгайлах","1","1"
"Сайхан-Овоо","Улсын дүн","3","3"
"Сайхан-Овоо","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","3"
"Сайхан-Овоо","Өмчлөх эрхийн эсрэг","3","1"
"Сайхан-Овоо","Хулгайлах","2",""
"Сайхан-Овоо","Залилах","1",""
"Хулд","Улсын дүн","22","8"
"Хулд","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","1"
"Хулд","Өмчлөх эрхийн эсрэг","15","3"
"Хулд","Хулгайлах","15","2"
"Хулд","ХАБТХАЖ-ын эсрэг гэмт хэрэг","3",""
"Хулд","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1","1"
"Хулд","Авлигын эсрэг","2","2"
"Хулд","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","","1"
"Цагаандэлгэр","Улсын дүн","5","10"
"Цагаандэлгэр","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","2","2"
"Цагаандэлгэр","Өмчлөх эрхийн эсрэг","3","3"
"Цагаандэлгэр","Хулгайлах","2","1"
"Цагаандэлгэр","Мал хулгайлах","1","2"
"Цагаандэлгэр","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","1"
"Цагаандэлгэр","Авлигын эсрэг","","2"
"Цагаандэлгэр","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","","2"
"Эрдэнэдалай","Улсын дүн","16","7"
"Эрдэнэдалай","Хүний амьд явах эрхийн эсрэг","1",""
"Эрдэнэдалай","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","9","3"
"Эрдэнэдалай","Өмчлөх эрхийн эсрэг","5","3"
"Эрдэнэдалай","Хулгайлах","3","2"
"Эрдэнэдалай","Мал хулгайлах","2","1"
"Эрдэнэдалай","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1","1"
"Бусад","Улсын дүн","","0"
"Бусад","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","0"
"Бусад","Өмчлөх эрхийн эсрэг","","0"
"Зүүн бүс","Улсын дүн","1,594","1,971"
"Зүүн бүс","Үндэсний аюулгүй байдлын эсрэг","8","1"
"Зүүн бүс","Хүний амьд явах эрхийн эсрэг","49","27"
"Зүүн бүс","Хүнийг  санаатай алах","16","14"
"Зүүн бүс","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","25","10"
"Зүүн бүс","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","480","482"
"Зүүн бүс","Өмчлөх эрхийн эсрэг","809","1,175"
"Зүүн бүс","Хулгайлах","356","379"
"Зүүн бүс","Мал хулгайлах","289","569"
"Зүүн бүс","Дээрэмдэх","12","15"
"Зүүн бүс","Залилах","83","123"
"Зүүн бүс","Хөрөнгө завших","27","32"
"Зүүн бүс","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","11","9"
"Зүүн бүс","Эрүүл мэндийн эсрэг","2","2"
"Зүүн бүс","Хүрээлэн байгаа орчны эсрэг","21","31"
"Зүүн бүс","ХАБТХАЖ-ын эсрэг гэмт хэрэг","115","102"
"Зүүн бүс","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","49","47"
"Зүүн бүс","Хүний халдашгүй чөлөөтэй ажиллах эрхийн эсрэг гэмт хэрэг","3","6"
"Зүүн бүс","Хүний хувийн улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг","","0"
"Зүүн бүс","Хүүхдийн эсрэг  гэмт хэрэг","0","2"
"Зүүн бүс","Эдийн засгийн гэмт хэрэг","6","20"
"Зүүн бүс","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","6","7"
"Зүүн бүс","Авлигын эсрэг","23","42"
"Зүүн бүс","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","10","13"
"Зүүн бүс","Цахим мэдээллийн аюулгүй байдлын эсрэг","0","5"
"Зүүн бүс","Цэргийн албаны эсрэг гэмт хэрэг","2","0"
"Зүүн бүс","Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг","0",""
"Дорнод","Улсын дүн","602","605"
"Дорнод","Үндэсний аюулгүй байдлын эсрэг","7","1"
"Дорнод","Хүний амьд явах эрхийн эсрэг","29","10"
"Дорнод","Хүнийг  санаатай алах","9","9"
"Дорнод","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","17","10"
"Дорнод","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","177","188"
"Дорнод","Өмчлөх эрхийн эсрэг","280","294"
"Дорнод","Хулгайлах","124","91"
"Дорнод","Мал хулгайлах","101","133"
"Дорнод","Дээрэмдэх","4","6"
"Дорнод","Залилах","27","41"
"Дорнод","Хөрөнгө завших","10","7"
"Дорнод","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","9","8"
"Дорнод","Эрүүл мэндийн эсрэг","2","1"
"Дорнод","Хүрээлэн байгаа орчны эсрэг","9","17"
