"Засаг захиргааны нэгж","Гэмт хэргийн ангилал","2018","2019"
"Тосонцэнгэл","ХАБТХАЖ-ын эсрэг гэмт хэрэг","3","2"
"Тосонцэнгэл","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1","2"
"Тосонцэнгэл","Авлигын эсрэг","1","1"
"Тосонцэнгэл","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","1","1"
"Түдэвтэй","Улсын дүн","4","3"
"Түдэвтэй","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","3","2"
"Түдэвтэй","Өмчлөх эрхийн эсрэг","1","1"
"Түдэвтэй","Мал хулгайлах","1","1"
"Тэлмэн","Улсын дүн","15","5"
"Тэлмэн","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","7","1"
"Тэлмэн","Өмчлөх эрхийн эсрэг","6","2"
"Тэлмэн","Хулгайлах","5",""
"Тэлмэн","Мал хулгайлах","1",""
"Тэлмэн","Хөрөнгө завших","","2"
"Тэлмэн","Хүрээлэн байгаа орчны эсрэг","","1"
"Тэлмэн","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","1"
"Тэлмэн","Авлигын эсрэг","1",""
"Тэс","Улсын дүн","1","6"
"Тэс","Хүний амьд явах эрхийн эсрэг","1",""
"Тэс","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","2"
"Тэс","Өмчлөх эрхийн эсрэг","1","3"
"Тэс","Мал хулгайлах","","3"
"Ургамал","Улсын дүн","4","1"
"Ургамал","Үндэсний аюулгүй байдлын эсрэг","","1"
"Ургамал","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","0"
"Ургамал","Өмчлөх эрхийн эсрэг","","1"
"Ургамал","Мал хулгайлах","","1"
"Ургамал","Эдийн засгийн гэмт хэрэг","1",""
"Ургамал","Авлигын эсрэг","1",""
"Цагаанхайрхан","Улсын дүн","7","5"
"Цагаанхайрхан","Хүний амьд явах эрхийн эсрэг","1",""
"Цагаанхайрхан","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","2"
"Цагаанхайрхан","Өмчлөх эрхийн эсрэг","5","1"
"Цагаанхайрхан","Хулгайлах","4","1"
"Цагаанхайрхан","Мал хулгайлах","1",""
"Цагаанхайрхан","Хүрээлэн байгаа орчны эсрэг","1","1"
"Цагаанхайрхан","Авлигын эсрэг","1","1"
"Цагаанчулуут","Улсын дүн","0","3"
"Цагаанчулуут","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","2"
"Цагаанчулуут","Өмчлөх эрхийн эсрэг","","1"
"Цагаанчулуут","Мал хулгайлах","","1"
"Цэцэн-Уул","Улсын дүн","3","6"
"Цэцэн-Уул","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","0"
"Цэцэн-Уул","Өмчлөх эрхийн эсрэг","1","2"
"Цэцэн-Уул","Хулгайлах","1","1"
"Цэцэн-Уул","Мал хулгайлах","","1"
"Цэцэн-Уул","Авлигын эсрэг","1",""
"Шилүүстэй","Улсын дүн","5","4"
"Шилүүстэй","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","3","4"
"Шилүүстэй","Өмчлөх эрхийн эсрэг","1","2"
"Шилүүстэй","Хулгайлах","","1"
"Шилүүстэй","Мал хулгайлах","","1"
"Шилүүстэй","Хөрөнгө завших","1",""
"Шилүүстэй","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","1"
"Шилүүстэй","Авлигын эсрэг","1",""
"Шилүүстэй","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","","1"
"Эрдэнэхайрхан","Улсын дүн","4","4"
"Эрдэнэхайрхан","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","1",""
"Эрдэнэхайрхан","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","1"
"Эрдэнэхайрхан","Өмчлөх эрхийн эсрэг","2","3"
"Эрдэнэхайрхан","Мал хулгайлах","2","3"
"Яруу","Улсын дүн","4","5"
"Яруу","Хүний амьд явах эрхийн эсрэг","1",""
"Яруу","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","2","2"
"Яруу","Өмчлөх эрхийн эсрэг","1","1"
"Яруу","Мал хулгайлах","1","1"
"Яруу","Хүрээлэн байгаа орчны эсрэг","1","1"
"Яруу","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","1"
"Бусад","Улсын дүн","0","0"
"Бусад","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","0"
"Бусад","Өмчлөх эрхийн эсрэг","","0"
"Говь-Алтай","Улсын дүн","203","235"
"Говь-Алтай","Хүний амьд явах эрхийн эсрэг","4","10"
"Говь-Алтай","Хүнийг  санаатай алах","2","2"
"Говь-Алтай","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","1","8"
"Говь-Алтай","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","50","66"
"Говь-Алтай","Өмчлөх эрхийн эсрэг","125","119"
"Говь-Алтай","Хулгайлах","49","54"
"Говь-Алтай","Мал хулгайлах","13","24"
"Говь-Алтай","Дээрэмдэх","1","3"
"Говь-Алтай","Залилах","45","22"
"Говь-Алтай","Хөрөнгө завших","8","7"
"Говь-Алтай","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","0",""
"Говь-Алтай","Эрүүл мэндийн эсрэг","0",""
"Говь-Алтай","Хүрээлэн байгаа орчны эсрэг","3","4"
"Говь-Алтай","ХАБТХАЖ-ын эсрэг гэмт хэрэг","14","13"
"Говь-Алтай","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","2","3"
"Говь-Алтай","Хүний халдашгүй чөлөөтэй ажиллах эрхийн эсрэг гэмт хэрэг","1",""
"Говь-Алтай","Эдийн засгийн гэмт хэрэг","1",""
"Говь-Алтай","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","","2"
"Говь-Алтай","Авлигын эсрэг","2","17"
"Говь-Алтай","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","1","1"
"Есөнбулаг","Улсын дүн","120","123"
"Есөнбулаг","Хүний амьд явах эрхийн эсрэг","2","3"
"Есөнбулаг","Хүнийг  санаатай алах","1","2"
"Есөнбулаг","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","1"
"Есөнбулаг","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","29","37"
"Есөнбулаг","Өмчлөх эрхийн эсрэг","81","54"
"Есөнбулаг","Хулгайлах","37","29"
"Есөнбулаг","Мал хулгайлах","3","2"
"Есөнбулаг","Дээрэмдэх","1","2"
"Есөнбулаг","Залилах","28","12"
"Есөнбулаг","Хөрөнгө завших","5","2"
