"Статистик үзүүлэлт","Засаг захиргааны нэгж","2010","2011","2012","2013","2014","2015","2016","2017"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Эрдэнэхайрхан","","1","2","","1","1","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Яруу","","","1","","","1","1",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Говь-Алтай","9","17","16","29","19","14","22","16"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Есөнбулаг","4","6","8","11","9","8","12","10"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Алтай","","","2","4","2","1","1","2"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Баян-Уул","","","1","1","","","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Бигэр","","3","","1","","2","1",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Бугат","2","1","1","","","1","2","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Дэлгэр","","2","1","","5","","4","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Жаргалан","","1","","","","","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Тайшир","","","","","1","","","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Тонхил","","1","","","","","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Төгрөг","","","1","2","","","2",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Хөхморьт","","","","","","1","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Цээл","1","1","1","7","1","1","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Чандмань","1","","","","","","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Шарга","1","2","1","3","1","","","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Баян-Өлгий","18","25","25","21","17","14","21","14"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Өлгий","13","17","14","12","6","5","11","6"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Алтай","","1","","1","","","1",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Алтанцөгц","","","","","1","","1",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Баяннуур","","2","1","","1","1","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Бугат","1","2","1","","3","2","2","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Булган","","","","1","","","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Буянт","","","","","","2","1","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Дэлүүн","1","1","3","","2","","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Ногооннуур","1","","1","3","2","","2","2"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Сагсай","","","1","","1","1","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Толбо","1","1","","1","1","","1",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Улаанхус","","","1","1","","3","1","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Цэнгэл","1","1","3","2","","","1","3"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Ховд","36","29","45","34","57","48","58","54"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Жаргалант","15","7","19","13","12","12","19","14"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Алтай","4","4","3","4","6","2","3","5"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Булган","2","9","2","4","11","10","9","5"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Буянт","6","2","3","2","6","3","6","3"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Дарви","2","1","4","","1","1","4","2"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Дөргөн","","1","","","1","2","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Дуут","","","","1","1","1","","6"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Зэрэг","","1","2","2","3","1","2","3"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Манхан","1","1","2","2","4","6","4","3"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Мөнххайрхан","","","","","","","","2"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Мөст","1","","2","","2","3","1","3"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Мянгад","","","","","1","","2","2"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Үенч","1","","4","4","2","2","2",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Ховд","1","1","2","1","","","","5"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Цэцэг","2","1","2","1","4","4","3","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Чандмань","1","","","","3","","1",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Эрдэнэбүрэн","","1","","","","1","2",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Увс","30","22","23","26","22","20","17","15"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Улаангом","16","18","11","12","9","10","6","4"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Бөхмөрөн","1","","","1","2","2","","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Давст","","","1","1","1","1","1",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Зүүнговь","","","","","1","","","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Зүүнхангай","","","2","1","2","","1","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Малчин","2","","1","","2","2","2",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Наранбулаг","2","","2","2","4","1","1","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Өлгий","","1","","1","","","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Өмнөговь","2","","","1","","","1",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Өндөрхангай","1","","","1","","","1",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Сагил","1","","1","","","","2",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Тариалан","3","1","3","1","","","","3"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Түргэн","2","","","1","","2","1","3"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Тэс","","","2","4","","","1",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Ховд","","1","","","","1","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Хяргас","","","","","","","","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Цагаанхайрхан","","1","","","1","1","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Хангайн бүс","218","245","292","241","291","263","219","231"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Орхон","53","38","51","48","63","58","26","39"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Баян-Өндөр","51","35","45","47","60","50","24","38"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Жаргалант","2","3","6","1","3","8","2","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Өвөрхангай","37","55","60","47","63","58","58","45"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Арвайхээр","16","24","18","15","25","25","16","19"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Баруунбаян-Улаан","1","1","","","1","","","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Бат-Өлзий","","4","1","","","","2",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Баянгол","","1","1","2","2","","1",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Баян-Өндөр","","1","","1","","","3",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Богд","1","2","1","","1","4","3","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Бүрд","","2","","1","3","4","3","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Гучин-Ус","1","","","1","","","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Есөн зүйл","1","","1","2","1","2","2","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Зүүнбаян-Улаан","","3","13","4","1","3","3",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Нарийнтээл","2","2","3","4","2","2","1","2"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Өлзийт","1","2","5","2","5","2","5","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Сант","","","2","2","","2","1",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Тарагт","2","3","1","1","3","2","4","3"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Төгрөг","1","2","2","1","","","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Уянга","3","2","3","2","3","1","2","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Хайрхандулаан","","1","","3","4","4","3","2"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Хархорин","7","4","7","4","7","6","6","12"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Хужирт","1","1","2","2","5","1","3","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Булган","33","31","40","37","39","35","26","29"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Булган","3","9","6","6","8","6","4","2"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Баян-Агт","","","","2","","2","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Баяннуур","1","","","3","1","1","1","3"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Бугат","6","2","4","2","3","4","4","2"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Бүрэгхангай","","","3","1","2","","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Гурванбулаг","1","2","2","5","2","","1","3"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Дашинчилэн","4","2","1","2","7","6","2","2"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Могод","1","","","","","1","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Орхон","3","5","3","5","1","3","2","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Рашаант","2","2","10","2","2","5","3","8"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Сайхан","","1","2","","","","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Сэлэнгэ","1","2","3","2","1","","","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Тэшиг","","1","1","","","","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Хангал","5","2","4","4","9","3","1","2"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Хишиг-Өндөр","1","1","","1","1","1","1",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Хутаг-Өндөр","5","2","1","2","2","3","7","5"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Баянхонгор","42","44","59","38","48","22","20","28"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Баянхонгор","24","30","38","16","24","7","10","11"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Баацагаан","1","1","1","","3","1","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Баянбулаг","1","","","","1","","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Баянговь","2","","1","","1","1","1","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Баянлиг","1","1","1","","","","","2"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Баян-Овоо","4","3","5","5","2","3","3","3"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Баян-Өндөр","","1","","","1","","","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Баянцагаан","","1","","2","","","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Богд","","","1","","1","1","1",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Бөмбөгөр","1","1","1","1","3","1","1","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Бууцагаан","1","","1","","3","","","2"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Галуут","","","2","2","3","1","","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Гурванбулаг","1","1","1","","","","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Жаргалант","1","1","2","","","2","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Жинст","","1","","","","1","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Заг","1","1","1","","1","1","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Өлзийт","2","1","4","9","3","2","4","5"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Хүрээмарал","","","","","","1","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Шинэжинст","","1","","1","","","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Эрдэнэцогт","2","","","2","2","","","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Архангай","34","40","27","39","36","47","47","44"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Эрдэнэбулган","18","18","10","16","11","18","12","12"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Батцэнгэл","1","1","","","","1","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Булган","","","","2","","","2",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Жаргалант","","","","","1","","1",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Ихтамир","2","4","2","2","5","3","3","6"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Өгийнуур","","","1","2","1","1","3",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Өлзийт","3","","","","","2","1","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Өндөр-Улаан","","4","2","5","1","3","7","4"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Тариат","1","1","","1","2","4","4","3"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Төвшрүүлэх","","","1","","1","1","1","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Хайрхан","1","1","","","5","2","1","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Хашаат","2","2","4","2","3","3","6","5"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Хотонт","3","2","1","2","3","1","","3"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Цахир","1","1","1","1","2","2","","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Цэнхэр","1","4","3","2","1","3","5","3"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Цэцэрлэг","","","1","","","2","1",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Чулуут","","1","","2","","","","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Эрдэнэмандал","1","1","1","2","","1","","3"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Хөвсгөл","19","37","55","32","42","43","42","46"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Мөрөн","8","23","31","15","19","21","23","21"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Алаг-Эрдэнэ","1","4","8","5","3","3","5","6"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Арбулаг","1","","2","","","","1",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Баянзүрх","","","","","1","","1","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Бүрэнтогтох","","1","3","1","1","3","","2"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Галт","2","","","","1","","","2"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Жаргалант","","","1","","","","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Их-Уул","1","1","","","2","2","2","2"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Рашаант","","1","","2","","1","1",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Ренчинлхүмбэ","","2","","","","","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Тариалан","","","1","4","1","2","1","5"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Тосонцэнгэл","","","","3","7","2","2","4"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Төмөрбулаг","3","1","2","","","","2","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Түнэл","","1","3","1","1","4","2","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Улаан-Уул","","","1","","","","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Ханх","1","1","","","1","","1",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Цагаан-Уул","","2","","1","","","","1"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Цэцэрлэг","","","1","","","2","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Чандмань-Өндөр","2","","1","","","","1",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Шинэ-Идэр","","","1","","","","",""
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Төвийн бүс","277","380","375","455","534","439","422","415"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Төв","91","117","110","148","146","123","121","105"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Зуунмод","26","8","4","12","14","6","5","7"
"Тээврийн хэрэгслийн хөдөлгөөний аюулгүй байдал, ашиглалтын журмын эсрэг гэмт хэрэг","Алтанбулаг","1","1","6","3","1","1","2","3"
