"Статистик үзүүлэлт","Засаг захиргааны нэгж","2010","2011","2012","2013","2014","2015","2016","2017"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Мөнххайрхан","1","","","2","","5","",""
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Мөст","3","1","2","5","3","10","6","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Мянгад","2","3","1","1","2","","2","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Үенч","5","4","4","4","2","1","2","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Ховд","4","5","3","8","6","4","3","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Цэцэг","","1","1","4","3","5","4","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Чандмань","1","3","","1","3","3","3","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Эрдэнэбүрэн","2","","1","2","4","3","7","5"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Увс","101","93","96","115","144","156","143","154"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Улаангом","62","58","58","65","86","86","71","76"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баруунтуруун","3","3","5","3","2","3","3","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Бөхмөрөн","","2","1","1","2","5","3","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Давст","2","","2","","","3","2","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Завхан","2","2","1","3","3","1","3","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Зүүнговь","","2","","1","2","3","7","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Зүүнхангай","","1","3","1","1","3","6","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Малчин","3","2","2","1","3","2","1","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Наранбулаг","3","3","2","7","8","5","1","8"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Өлгий","","1","","1","3","8","3","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Өмнөговь","2","1","7","7","2","3","4","6"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Өндөрхангай","3","1","","3","3","1","3","7"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Сагил","2","3","3","4","9","3","6","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Тариалан","8","2","4","3","8","4","3","8"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Түргэн","2","2","2","4","","6","2","6"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Тэс","1","1","5","4","5","6","10","14"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Ховд","3","2","","3","1","2","8","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Хяргас","1","4","","2","1","3","5","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Цагаанхайрхан","4","3","1","2","5","9","2","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Хангайн бүс","872","827","893","1,019","1,072","1,019","1,073","1,258"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Орхон","166","183","212","218","236","240","229","293"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баян-Өндөр","160","178","203","211","229","234","223","286"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Жаргалант","6","5","9","7","7","6","6","7"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Өвөрхангай","163","168","211","208","186","155","170","155"
